Case 1 - Low Confidence ( 2393 )
==================================================
HYPONYM(europe, cities)
HYPONYM(dallas, cities)
HYPONYM(location, jobs)
HYPONYM(explosives, areas)
HYPONYM(geography, areas)
HYPONYM(protesters, lawbreakers)
HYPONYM(laptop_computers, items)
HYPONYM(bedspreads, textiles)
HYPONYM(cars, bits)
HYPONYM(musicians, characters)
HYPONYM(multiple_sclerosis, ailments)
HYPONYM(computers, applications)
HYPONYM(jesus, jews)
HYPONYM(heart_attack, signs)
HYPONYM(students, critics)
HYPONYM(finland, nations)
HYPONYM(ragtime, times_square)
HYPONYM(mexico, parts)
HYPONYM(locker_rooms, facilities)
HYPONYM(almond_cookies, sweets)
HYPONYM(potassium_cyanide, chemicals)
HYPONYM(nato, allies)
HYPONYM(grandchildren, members)
HYPONYM(schoenberg, paintings)
HYPONYM(clinics, facilities)
HYPONYM(halibut, fish)
HYPONYM(scarves, textiles)
HYPONYM(materials, goods)
HYPONYM(hospitals, buildings)
HYPONYM(brunei, natural_gas)
HYPONYM(rwanda, parts)
HYPONYM(france, iraq)
HYPONYM(graham, works)
HYPONYM(mediation, meetings)
HYPONYM(chrysanthemums, blossoms)
HYPONYM(larceny, crimes)
HYPONYM(tokyo, libraries)
HYPONYM(medicaid, payments)
HYPONYM(morocco, iraq)
HYPONYM(saturn, brands)
HYPONYM(hedge_funds, companies)
HYPONYM(brancusi, artists)
HYPONYM(italy, groups)
HYPONYM(zebras, wildlife)
HYPONYM(children, groups)
HYPONYM(routers, gear)
HYPONYM(stanford, experts)
HYPONYM(malawi, african_countries)
HYPONYM(speculation, reactions)
HYPONYM(ethnicity, diversity)
HYPONYM(firefighters, commanders)
HYPONYM(hospitals, organizations)
HYPONYM(ritalin, stimulants)
HYPONYM(perjury, crimes)
HYPONYM(subways, places)
HYPONYM(quasars, sources)
HYPONYM(beans, carbohydrates)
HYPONYM(greenwich, area)
HYPONYM(tax_returns, charges)
HYPONYM(grammar, language)
HYPONYM(sick_leave, benefits)
HYPONYM(intimidation, factors)
HYPONYM(conventions, things)
HYPONYM(undergarments, basics)
HYPONYM(scarves, apparel)
HYPONYM(washington, presidents)
HYPONYM(pepperoni, ingredients)
HYPONYM(jackson, presidents)
HYPONYM(grief, topics)
HYPONYM(groceries, items)
HYPONYM(architects, professionals)
HYPONYM(bottled_water, snacks)
HYPONYM(selections, work)
HYPONYM(chess, games)
HYPONYM(landers, vehicles)
HYPONYM(fireworks, site)
HYPONYM(sonar, equipment)
HYPONYM(tourism, human_activities)
HYPONYM(grenades, items)
HYPONYM(democrats, participants)
HYPONYM(creation, changes)
HYPONYM(pesticides, forms)
HYPONYM(shad, fish)
HYPONYM(chervil, taproots)
HYPONYM(kidnappings, attacks)
HYPONYM(mice, animals)
HYPONYM(subscription, services)
HYPONYM(mexico, rivers)
HYPONYM(max_ernst, artists)
HYPONYM(periodicals, items)
HYPONYM(baghdad, provinces)
HYPONYM(anthropologists, social_scientists)
HYPONYM(aprons, handiwork)
HYPONYM(cormorants, seabirds)
HYPONYM(ireland, countries)
HYPONYM(subway, services)
HYPONYM(caterers, vendors)
HYPONYM(chanterelle, restaurants)
HYPONYM(amazon, retailers)
HYPONYM(pottery, material)
HYPONYM(sardines, fish)
HYPONYM(dublin, ireland)
HYPONYM(tehran, cities)
HYPONYM(norfolk, sites)
HYPONYM(boston, markets)
HYPONYM(civil_rights, issues)
HYPONYM(books, documents)
HYPONYM(geography, factors)
HYPONYM(thursday, sunday)
HYPONYM(hand-held_computers, electronic_devices)
HYPONYM(movies, television_shows)
HYPONYM(science_museums, places)
HYPONYM(nigeria, nations)
HYPONYM(neurosurgery, medicine)
HYPONYM(masonry, fields)
HYPONYM(money, documents)
HYPONYM(leonardo, giants)
HYPONYM(janitors, workers)
HYPONYM(sperm, tissues)
HYPONYM(shiitake_mushrooms, vegetables)
HYPONYM(restaurants, retail_stores)
HYPONYM(t-shirts, clothes)
HYPONYM(antidepressants, types)
HYPONYM(turkey, nations)
HYPONYM(aviation, activities)
HYPONYM(poland, nations)
HYPONYM(disk_drives, storage_devices)
HYPONYM(rapists, deviants)
HYPONYM(railway_stations, cities)
HYPONYM(governors, officials)
HYPONYM(guangzhou, institutions)
HYPONYM(nike, brands)
HYPONYM(feminism, reference)
HYPONYM(oil_changes, maintenance)
HYPONYM(arsenic, contaminants)
HYPONYM(alcohol, products)
HYPONYM(mosques, buildings)
HYPONYM(family, jews)
HYPONYM(lichen, plants)
HYPONYM(kabul, cities)
HYPONYM(isaiah, sources)
HYPONYM(scholars, poets)
HYPONYM(courtesy, qualities)
HYPONYM(degenerative_arthritis, conditions)
HYPONYM(russia, parts)
HYPONYM(texas, conservatives)
HYPONYM(hearts, images)
HYPONYM(directions, information)
HYPONYM(georgia, states)
HYPONYM(depth_bombs, weapons)
HYPONYM(cars, products)
HYPONYM(toner, items)
HYPONYM(matisses, impressionist)
HYPONYM(hospitals, service_industries)
HYPONYM(housing, support)
HYPONYM(business_executives, proponents)
HYPONYM(george_segal, artists)
HYPONYM(rabies, conditions)
HYPONYM(surveillance_systems, equipment)
HYPONYM(stairs, structures)
HYPONYM(insurers, service_industries)
HYPONYM(treasury_bonds, securities)
HYPONYM(earth_science, areas)
HYPONYM(times_square, restaurants)
HYPONYM(organs, body_parts)
HYPONYM(lytton_strachey, writers)
HYPONYM(hallucinations, side_effects)
HYPONYM(salem, towns)
HYPONYM(clay, colors)
HYPONYM(notepads, essentials)
HYPONYM(guatemala, countries)
HYPONYM(meryl_streep, celebrities)
HYPONYM(african-americans, students)
HYPONYM(reduction, penalties)
HYPONYM(lawyers, legal_experts)
HYPONYM(spastic_paralysis, neurological_disorders)
HYPONYM(montreal, cities)
HYPONYM(i._m._pei, architecture)
HYPONYM(john_singer_sargent, artists)
HYPONYM(obstetricians, health_professionals)
HYPONYM(yellowfin_tuna, fish)
HYPONYM(movies, elements)
HYPONYM(cosmetics, products)
HYPONYM(priests, staff_members)
HYPONYM(arrows, items)
HYPONYM(canned_goods, handiwork)
HYPONYM(calder, masters)
HYPONYM(deed, restrictions)
HYPONYM(drug_abuse, services)
HYPONYM(vodka, alcoholic_beverages)
HYPONYM(arsenic, sources)
HYPONYM(airfare, travel_expenses)
HYPONYM(trophies, tokens)
HYPONYM(cafes, foreigners)
HYPONYM(commodore_perry, westerners)
HYPONYM(mice, rodents)
HYPONYM(central_park, places)
HYPONYM(grapefruit, fruits)
HYPONYM(oregon, destinations)
HYPONYM(men, co-defendants)
HYPONYM(students, educators)
HYPONYM(variety, standards)
HYPONYM(langston_hughes, sites)
HYPONYM(survivors, witnesses)
HYPONYM(promotions, duties)
HYPONYM(satellites, bodies)
HYPONYM(lead, hazards)
HYPONYM(pond, brands)
HYPONYM(ammunition, contraband)
HYPONYM(indonesia, breaches)
HYPONYM(wednesday, times)
HYPONYM(amazon, merchants)
HYPONYM(sea_turtles, animals)
HYPONYM(requirements, report)
HYPONYM(tape_recorders, items)
HYPONYM(vans, vehicles)
HYPONYM(partner, witnesses)
HYPONYM(guatemala, nations)
HYPONYM(san_francisco, places)
HYPONYM(marsh, investors)
HYPONYM(family, visitors)
HYPONYM(outlook, programs)
HYPONYM(expenses, funds)
HYPONYM(tree_branches, debris)
HYPONYM(compact_discs, forms)
HYPONYM(construction, applications)
HYPONYM(bloomfield, shops)
HYPONYM(iraq, african_nations)
HYPONYM(thailand, nations)
HYPONYM(viruses, worms)
HYPONYM(reporters, officials)
HYPONYM(congestive_heart_failure, maladies)
HYPONYM(hispanics, groups)
HYPONYM(tajikistan, countries)
HYPONYM(mites, organisms)
HYPONYM(air_raids, attacks)
HYPONYM(shelter, support)
HYPONYM(utah, destinations)
HYPONYM(stoves, appliances)
HYPONYM(lilies, plants)
HYPONYM(syria, african_nations)
HYPONYM(durban, south_africa)
HYPONYM(mail_fraud, charges)
HYPONYM(coyotes, animals)
HYPONYM(partridge, birds)
HYPONYM(epidemiology, fields)
HYPONYM(keyboard, peripherals)
HYPONYM(contraception, procedures)
HYPONYM(fishermen, residents)
HYPONYM(telecommunications, businesses)
HYPONYM(television_shows, productions)
HYPONYM(georgetown, universities)
HYPONYM(chopin, artists)
HYPONYM(braque, masters)
HYPONYM(apple, companies)
HYPONYM(staff_members, critics)
HYPONYM(insurance_companies, financial_institutions)
HYPONYM(taxes, charges)
HYPONYM(gonorrhea, diseases)
HYPONYM(friends, kids)
HYPONYM(engines, components)
HYPONYM(swords, props)
HYPONYM(rural_areas, regions)
HYPONYM(tiffany, companies)
HYPONYM(sri_lanka, countries)
HYPONYM(humans, great_apes)
HYPONYM(marsh, insurance_brokers)
HYPONYM(salaries, expenses)
HYPONYM(museums, institutions)
HYPONYM(honorary_degrees, honors)
HYPONYM(iraq, cases)
HYPONYM(lake_trout, fish)
HYPONYM(investment_firms, financial_institutions)
HYPONYM(pesticides, chemicals)
HYPONYM(politics, topics)
HYPONYM(residency, issues)
HYPONYM(civil_defense, public_services)
HYPONYM(harlem, neighborhoods)
HYPONYM(palm_beach, counties)
HYPONYM(itineraries, data)
HYPONYM(aluminum, materials)
HYPONYM(lung_cancer, problems)
HYPONYM(linchpin, baghdad)
HYPONYM(police_stations, installations)
HYPONYM(sleeping_bags, equipment)
HYPONYM(economists, scholars)
HYPONYM(families, new_york)
HYPONYM(dioxins, substances)
HYPONYM(offices, addresses)
HYPONYM(zinc, metals)
HYPONYM(roebuck, retailers)
HYPONYM(black_box, groups)
HYPONYM(iraqis, voices)
HYPONYM(meat, foods)
HYPONYM(albany, places)
HYPONYM(coolers, provisions)
HYPONYM(heart_attacks, cardiovascular_diseases)
HYPONYM(brooklyn, places)
HYPONYM(woodward, authors)
HYPONYM(sexual_assault, abuse)
HYPONYM(taiwan, locations)
HYPONYM(equipment, goods)
HYPONYM(metaphors, abstractions)
HYPONYM(stairwells, sections)
HYPONYM(dozens, devices)
HYPONYM(vehicles, instruments)
HYPONYM(notebooks, files)
HYPONYM(theaters, organizations)
HYPONYM(sirens, japan)
HYPONYM(nato, groups)
HYPONYM(sergeants, officers)
HYPONYM(inaction, problems)
HYPONYM(dean, members)
HYPONYM(somalia, disaster_areas)
HYPONYM(documentaries, films)
HYPONYM(epilepsy, neurological_disorders)
HYPONYM(friends, fans)
HYPONYM(pornography, indecency)
HYPONYM(video, mediums)
HYPONYM(rock_concerts, events)
HYPONYM(austria, nations)
HYPONYM(spacecraft, equipment)
HYPONYM(documents, proof)
HYPONYM(ketchup, foods)
HYPONYM(hedgehogs, mammals)
HYPONYM(abortion, steps)
HYPONYM(salads, fare)
HYPONYM(fennel, taproots)
HYPONYM(acquisitions, areas)
HYPONYM(videos, material)
HYPONYM(jackie_robinson, dodgers)
HYPONYM(senior_vice_president, grandchildren)
HYPONYM(protein, cows)
HYPONYM(sites, clues)
HYPONYM(coriander, taproots)
HYPONYM(bulletproof_vests, services)
HYPONYM(marie_stopes, groups)
HYPONYM(rhinoceroses, animals)
HYPONYM(johnson, objects)
HYPONYM(kazakhstan, new_york)
HYPONYM(government, sources)
HYPONYM(gene_sarazen, caddies)
HYPONYM(politicians, guests)
HYPONYM(agoraphobia, ills)
HYPONYM(attorneys, vendors)
HYPONYM(incentives, fees)
HYPONYM(discomfort, symptoms)
HYPONYM(tomatoes, crops)
HYPONYM(cookies, sweets)
HYPONYM(president_bush, politicians)
HYPONYM(myelin, membranes)
HYPONYM(india, iraq)
HYPONYM(logos, marks)
HYPONYM(manuals, things)
HYPONYM(figurines, products)
HYPONYM(tree_trunks, debris)
HYPONYM(cambridge, companies)
HYPONYM(cannibalism, behavior)
HYPONYM(wheat, grains)
HYPONYM(postcards, documents)
HYPONYM(pottery, items)
HYPONYM(toronto, locations)
HYPONYM(charlotte, volunteers)
HYPONYM(cougars, wildlife)
HYPONYM(fairy_tales, genres)
HYPONYM(iraq, voters)
HYPONYM(mike, children)
HYPONYM(jamaica, neighbors)
HYPONYM(afghanistan, spots)
HYPONYM(india, portions)
HYPONYM(pharmacology, areas)
HYPONYM(trichinae, animals)
HYPONYM(architects, individuals)
HYPONYM(conversations, material)
HYPONYM(memorandums, correspondence)
HYPONYM(cosmetics, consumer_goods)
HYPONYM(faith, solutions)
HYPONYM(embarrassment, cycle)
HYPONYM(baghdad, institutions)
HYPONYM(administrators, staff_members)
HYPONYM(humans, mammals)
HYPONYM(concussions, injuries)
HYPONYM(california, countries)
HYPONYM(legal_fees, expenses)
HYPONYM(cigarette_lighters, keepsakes)
HYPONYM(terrorists, extremists)
HYPONYM(south_korea, iraq)
HYPONYM(bahrain, countries)
HYPONYM(harold_pinter, champions)
HYPONYM(things, communities)
HYPONYM(playgrounds, sites)
HYPONYM(america, banks)
HYPONYM(photos, name)
HYPONYM(seafood, products)
HYPONYM(matisse, masters)
HYPONYM(daughter, campers)
HYPONYM(schools, buildings)
HYPONYM(grandmother, relatives)
HYPONYM(libya, steps)
HYPONYM(cambodia, places)
HYPONYM(silver_star, honors)
HYPONYM(mozart, composers)
HYPONYM(ben_hecht, clients)
HYPONYM(bacteria, microbes)
HYPONYM(news_articles, proceedings)
HYPONYM(cars, goods)
HYPONYM(correspondence, hand)
HYPONYM(slovakia, countries)
HYPONYM(political_action_committees, groups)
HYPONYM(tubes, parts)
HYPONYM(dolls, bits)
HYPONYM(scratches, damage)
HYPONYM(pollock, masters)
HYPONYM(santa_fe, cities)
HYPONYM(contractors, employees)
HYPONYM(friend, women)
HYPONYM(toxicology, forms)
HYPONYM(quasars, light)
HYPONYM(sexual_harassment, irregularities)
HYPONYM(drivers, system)
HYPONYM(highways, structures)
HYPONYM(van, cars)
HYPONYM(researchers, specialists)
HYPONYM(typhoons, high_winds)
HYPONYM(sexual_harassment, misconduct)
HYPONYM(heart_attacks, complications)
HYPONYM(rwanda, disaster_areas)
HYPONYM(bookkeeping, services)
HYPONYM(scenes, video)
HYPONYM(cisco, companies)
HYPONYM(muskets, guns)
HYPONYM(broadway, officers)
HYPONYM(epilepsy, diseases)
HYPONYM(sewage_systems, sources)
HYPONYM(north_america, parts)
HYPONYM(firefighters, experts)
HYPONYM(economists, professionals)
HYPONYM(artists, professionals)
HYPONYM(actresses, artists)
HYPONYM(tomato, spices)
HYPONYM(hamburger_buns, sweets)
HYPONYM(conflict, issues)
HYPONYM(special_education, topics)
HYPONYM(drug_dealers, hustlers)
HYPONYM(croissants, pastries)
HYPONYM(brake_drums, parts)
HYPONYM(soda, foods)
HYPONYM(katherine_mansfield, women)
HYPONYM(pork, dishes)
HYPONYM(boston, places)
HYPONYM(doe, labels)
HYPONYM(st._john, works)
HYPONYM(sculptors, worthies)
HYPONYM(africa, places)
HYPONYM(afghanistan, nations)
HYPONYM(morgans, millionaires)
HYPONYM(drunkenness, trouble)
HYPONYM(sewage, contaminants)
HYPONYM(bulldozers, armored_vehicles)
HYPONYM(dollar_bills, paper_money)
HYPONYM(acetaldehyde, byproducts)
HYPONYM(electronics, divisions)
HYPONYM(nerve_gas, neurotoxins)
HYPONYM(europeans, donors)
HYPONYM(california, locations)
HYPONYM(telephone_conversations, evidence)
HYPONYM(beer, drinks)
HYPONYM(computers, records)
HYPONYM(mayors, elected_officials)
HYPONYM(ecuador, south_america)
HYPONYM(pistols, guns)
HYPONYM(medical_students, folks)
HYPONYM(social_scientists, scholars)
HYPONYM(sea_ducks, waters)
HYPONYM(devon, neighbors)
HYPONYM(soft_drinks, beverages)
HYPONYM(groves, spaces)
HYPONYM(aruba, places)
HYPONYM(satellites, means)
HYPONYM(polio, infectious_diseases)
HYPONYM(accusations, episodes)
HYPONYM(cigarette_butts, garbage)
HYPONYM(christians, victims)
HYPONYM(texas, institutions)
HYPONYM(john_cage, conduits)
HYPONYM(supplies, support)
HYPONYM(meals, employees)
HYPONYM(psychology, disciplines)
HYPONYM(soda, product)
HYPONYM(power_lines, hazards)
HYPONYM(money, things)
HYPONYM(new_hampshire, states)
HYPONYM(movies, topics)
HYPONYM(galileo, demigods)
HYPONYM(banners, advertising)
HYPONYM(lolo, characters)
HYPONYM(fuji, companies)
HYPONYM(garlic, spices)
HYPONYM(informants, factors)
HYPONYM(health_care, rights)
HYPONYM(cranberries, denizens)
HYPONYM(role, details)
HYPONYM(disorderly_conduct, offenses)
HYPONYM(mexico, south_america)
HYPONYM(madonna, artists)
HYPONYM(pinworms, animals)
HYPONYM(berkeley, universities)
HYPONYM(computers, consumer_goods)
HYPONYM(fertilizers, pollutants)
HYPONYM(shelley, writers)
HYPONYM(vice_chairman, companies)
HYPONYM(tea, products)
HYPONYM(commanders, officials)
HYPONYM(law_firms, organizations)
HYPONYM(mice, vertebrates)
HYPONYM(foreigners, visitors)
HYPONYM(hospitals, structures)
HYPONYM(officers, officers)
HYPONYM(food_processors, purveyors)
HYPONYM(bridgeport, districts)
HYPONYM(automatic_rifles, weapons)
HYPONYM(vietnam, issues)
HYPONYM(educators, adults)
HYPONYM(politicians, religious_leaders)
HYPONYM(frogs, creatures)
HYPONYM(fidel_castro, opponents)
HYPONYM(baseball_players, athletes)
HYPONYM(calligraphy, arts)
HYPONYM(leatherleaf, denizens)
HYPONYM(security, reasons)
HYPONYM(servers, computer_systems)
HYPONYM(infection, complications)
HYPONYM(carpentry, work)
HYPONYM(scanners, elements)
HYPONYM(loving_cups, tokens)
HYPONYM(pickpockets, undesirables)
HYPONYM(biotechnology, realms)
HYPONYM(severance, payments)
HYPONYM(frogs, amphibians)
HYPONYM(essence, publications)
HYPONYM(consultants, experts)
HYPONYM(taiwan, countries)
HYPONYM(ellington, composers)
HYPONYM(london, places)
HYPONYM(deeds, papers)
HYPONYM(seminars, functions)
HYPONYM(sneakers, canvases)
HYPONYM(mutual_funds, financial_institutions)
HYPONYM(museums, groups)
HYPONYM(advertisers, students)
HYPONYM(digital_cameras, electronic_equipment)
HYPONYM(miami, engineers)
HYPONYM(infliction, claims)
HYPONYM(inheritance_taxes, issues)
HYPONYM(almonds, crops)
HYPONYM(daughter-in-law, relatives)
HYPONYM(acquisitions, needs)
HYPONYM(relatives, future)
HYPONYM(flight_deck, sections)
HYPONYM(text, elements)
HYPONYM(lemurs, wildlife)
HYPONYM(hairdresser, items)
HYPONYM(auklets, birds)
HYPONYM(securities, property)
HYPONYM(children, adults)
HYPONYM(new_york_city, districts)
HYPONYM(florida, destinations)
HYPONYM(palmettos, motifs)
HYPONYM(transportation, services)
HYPONYM(counsel, grounds)
HYPONYM(manslaughter, charges)
HYPONYM(yuppies, newcomers)
HYPONYM(homework, classroom_projects)
HYPONYM(stock_options, assets)
HYPONYM(madrid, cities)
HYPONYM(tanguy, artists)
HYPONYM(ostriches, fowl)
HYPONYM(vignettes, features)
HYPONYM(reservists, soldiers)
HYPONYM(earmuffs, materials)
HYPONYM(summer_school, programs)
HYPONYM(hair, materials)
HYPONYM(veterinarians, specialists)
HYPONYM(bank_loans, debt)
HYPONYM(diamonds, jewelry)
HYPONYM(artists, travelers)
HYPONYM(pebbles, material)
HYPONYM(gas_pumps, cars)
HYPONYM(settlers, israelis)
HYPONYM(wallets, items)
HYPONYM(wittgenstein, philosophers)
HYPONYM(oklahoma, states)
HYPONYM(extension, europeans)
HYPONYM(actors, republicans)
HYPONYM(employees, civilians)
HYPONYM(parking_lots, watershed)
HYPONYM(algeria, countries)
HYPONYM(multiple_sclerosis, diseases)
HYPONYM(incidents, health)
HYPONYM(deforestation, human_activity)
HYPONYM(growth_hormones, chemicals)
HYPONYM(dugouts, areas)
HYPONYM(sedans, cars)
HYPONYM(lymphoma, diseases)
HYPONYM(dinosaurs, creatures)
HYPONYM(brooklyn, parts)
HYPONYM(india, lands)
HYPONYM(britain, europe)
HYPONYM(ukraine, new_york)
HYPONYM(benefit, cuts)
HYPONYM(car_loans, consumer_credit)
HYPONYM(shia, groups)
HYPONYM(foreign_minister, son)
HYPONYM(telephone_numbers, information)
HYPONYM(humans, animals)
HYPONYM(broadway, attractions)
HYPONYM(furniture, objects)
HYPONYM(alka-seltzer, marketers)
HYPONYM(owners, changes)
HYPONYM(psychologists, members)
HYPONYM(bathroom, places)
HYPONYM(depreciation, costs)
HYPONYM(rosemary, herbs)
HYPONYM(fibers, hairs)
HYPONYM(wolves, wildlife)
HYPONYM(shostakovich, composers)
HYPONYM(new_jersey, marine)
HYPONYM(carbon, chemicals)
HYPONYM(bookstores, institutions)
HYPONYM(government_ministers, guests)
HYPONYM(philips, companies)
HYPONYM(tuna, items)
HYPONYM(landmarks, sites)
HYPONYM(members, cabinet)
HYPONYM(intelligence, issues)
HYPONYM(farmers, customers)
HYPONYM(zocor, medications)
HYPONYM(pbs, buyers)
HYPONYM(price_controls, regulations)
HYPONYM(manhattan, cities)
HYPONYM(villas, items)
HYPONYM(antidepressants, medications)
HYPONYM(babylon, communities)
HYPONYM(assassinations, violence)
HYPONYM(freeman, students)
HYPONYM(cousins, family)
HYPONYM(correspondence, information)
HYPONYM(council, government)
HYPONYM(food_products, goods)
HYPONYM(candy, gifts)
HYPONYM(australian_dollar, currencies)
HYPONYM(labor_leaders, democrats)
HYPONYM(storefronts, canvases)
HYPONYM(marshalls, tenants)
HYPONYM(boston, dignitaries)
HYPONYM(nevada, states)
HYPONYM(calder, artists)
HYPONYM(calendar, programs)
HYPONYM(anarchists, groups)
HYPONYM(day, riders)
HYPONYM(pillars, scrims)
HYPONYM(collisions, interactions)
HYPONYM(poison_gas, means)
HYPONYM(cabbies, motorists)
HYPONYM(nachos, staples)
HYPONYM(foods, items)
HYPONYM(sensors, devices)
HYPONYM(iraq, experts)
HYPONYM(whitman, writers)
HYPONYM(ceramics, crafts)
HYPONYM(politics, subjects)
HYPONYM(hotels, areas)
HYPONYM(family, friends)
HYPONYM(mississippi, states)
HYPONYM(bondholders, creditors)
HYPONYM(leonard_bernstein, colleagues)
HYPONYM(statin, drugs)
HYPONYM(painters, workers)
HYPONYM(football, games)
HYPONYM(bellman, jobs)
HYPONYM(windows, system)
HYPONYM(station_agents, employees)
HYPONYM(geologists, scientists)
HYPONYM(vermont, institutions)
HYPONYM(bank_checks, items)
HYPONYM(angola, nations)
HYPONYM(vulgarity, traits)
HYPONYM(breakdowns, problems)
HYPONYM(vermont, states)
HYPONYM(los_angeles, places)
HYPONYM(fear, fears)
HYPONYM(morocco, allies)
HYPONYM(motels, accommodations)
HYPONYM(members, americans)
HYPONYM(lawyers, parties)
HYPONYM(senators, candidates)
HYPONYM(israel, points)
HYPONYM(iraqis, foreigners)
HYPONYM(chardonnay, wines)
HYPONYM(delicatessens, shops)
HYPONYM(relatives, collectors)
HYPONYM(arugula, salad_greens)
HYPONYM(lamp_shades, works)
HYPONYM(travel_agencies, companies)
HYPONYM(semiconductors, goods)
HYPONYM(fireplaces, motifs)
HYPONYM(potatoes, carbohydrates)
HYPONYM(music, media)
HYPONYM(diesel, fuels)
HYPONYM(students, consumers)
HYPONYM(bunnies, fauna)
HYPONYM(satan, terms)
HYPONYM(film_clips, items)
HYPONYM(infections, conditions)
HYPONYM(children, families)
HYPONYM(new_york, parts)
HYPONYM(transistors, electronic_devices)
HYPONYM(refrigerators, equipment)
HYPONYM(collectors, sources)
HYPONYM(kitchenware, goods)
HYPONYM(soft_drinks, food_products)
HYPONYM(jeans, goods)
HYPONYM(audubon, masters)
HYPONYM(food_stamp, benefits)
HYPONYM(qatar, natural_gas)
HYPONYM(tokyo, institutions)
HYPONYM(explosions, disasters)
HYPONYM(midwives, health_professionals)
HYPONYM(paper_bags, containers)
HYPONYM(orange_rind, spices)
HYPONYM(tibet, provinces)
HYPONYM(gasoline, forms)
HYPONYM(ecuador, nations)
HYPONYM(calgary, cities)
HYPONYM(designers, professionals)
HYPONYM(medical_history, factors)
HYPONYM(juice, foods)
HYPONYM(hormones, additives)
HYPONYM(cooking_utensils, basics)
HYPONYM(expression, rights)
HYPONYM(generosity, acts)
HYPONYM(toasters, products)
HYPONYM(cambridge, towns)
HYPONYM(famine, adversities)
HYPONYM(tomatoes, commodities)
HYPONYM(novels, works)
HYPONYM(economics, topics)
HYPONYM(britain, groups)
HYPONYM(safari, vacations)
HYPONYM(wool, materials)
HYPONYM(violence, disruptions)
HYPONYM(artificial_intelligence, topics)
HYPONYM(news_reports, evidence)
HYPONYM(publicists, students)
HYPONYM(cd_players, products)
HYPONYM(rubble, trash)
HYPONYM(oil_pipelines, facilities)
HYPONYM(neurons, brain_cells)
HYPONYM(replicas, gas_lamps)
HYPONYM(queens, parts)
HYPONYM(iraq, areas)
HYPONYM(apartments, residences)
HYPONYM(bill_clinton, democrats)
HYPONYM(pistols, firearms)
HYPONYM(egypt, points)
HYPONYM(chemotherapy, treatments)
HYPONYM(paul_newman, celebrities)
HYPONYM(outreach, programs)
HYPONYM(anesthesiologists, staff_members)
HYPONYM(ladies, publications)
HYPONYM(bill_clinton, governors)
HYPONYM(germany, athens)
HYPONYM(georgia, nations)
HYPONYM(surgeons, professionals)
HYPONYM(journalists, noncombatants)
HYPONYM(catholics, immigrants)
HYPONYM(larceny, charges)
HYPONYM(kidnappings, crimes)
HYPONYM(grenades, arms)
HYPONYM(racquetball, sports)
HYPONYM(additions, changes)
HYPONYM(heart, types)
HYPONYM(canada, markets)
HYPONYM(shares, shares)
HYPONYM(sculpins, fish)
HYPONYM(nitrogen, contaminants)
HYPONYM(members, prisoners)
HYPONYM(paris, places)
HYPONYM(viruses, invaders)
HYPONYM(car_rentals, travel_expenses)
HYPONYM(moscow, parts)
HYPONYM(pitcher_plants, denizens)
HYPONYM(reptiles, animals)
HYPONYM(savannah, ports)
HYPONYM(cd_players, gear)
HYPONYM(museums, buildings)
HYPONYM(faculty_members, experts)
HYPONYM(phoenix, cities)
HYPONYM(mark_twain, writers)
HYPONYM(injuries, interests)
HYPONYM(news, services)
HYPONYM(manuscripts, memorabilia)
HYPONYM(pollution, human_activities)
HYPONYM(statement, members)
HYPONYM(hartebeests, wildlife)
HYPONYM(prints, works)
HYPONYM(virginia_woolf, suicide)
HYPONYM(tlc, channels)
HYPONYM(women, sub-saharan_africa)
HYPONYM(religious_leaders, future)
HYPONYM(restaurants, workplaces)
HYPONYM(child_abuse, violence)
HYPONYM(mayors, candidates)
HYPONYM(currencies, assets)
HYPONYM(child_care, social_services)
HYPONYM(zuni, artifacts)
HYPONYM(libraries, areas)
HYPONYM(meals, attractions)
HYPONYM(spinal_cords, nerve_tissue)
HYPONYM(viruses, threats)
HYPONYM(genoa, ports)
HYPONYM(due_process, rights)
HYPONYM(glucose, substances)
HYPONYM(pornography, threats)
HYPONYM(parks, buildings)
HYPONYM(shellfish, organisms)
HYPONYM(mental_illness, conditions)
HYPONYM(women, base)
HYPONYM(manufacturers, proponents)
HYPONYM(leaders, parties)
HYPONYM(chicken_hawks, hustlers)
HYPONYM(senna, tea)
HYPONYM(health, areas)
HYPONYM(hoffmann, authors)
HYPONYM(billboard, trade_magazines)
HYPONYM(life_support, systems)
HYPONYM(sanders, critics)
HYPONYM(financial_statements, information)
HYPONYM(aircraft, materiel)
HYPONYM(britain, markets)
HYPONYM(windows, measures)
HYPONYM(ichthyologists, members)
HYPONYM(civic_leaders, politicians)
HYPONYM(graffiti, control)
HYPONYM(oman, natural_gas)
HYPONYM(strength, factors)
HYPONYM(kidneys, offal)
HYPONYM(poems, artworks)
HYPONYM(salmon, dishes)
HYPONYM(aluminum, metal)
HYPONYM(sources, iraq)
HYPONYM(egyptians, drivers)
HYPONYM(passports, official_documents)
HYPONYM(plaintiffs, persons)
HYPONYM(korea, scandinavia)
HYPONYM(condoms, ingredients)
HYPONYM(flashlights, tools)
HYPONYM(osteoporosis, diseases)
HYPONYM(foreign_ministers, officials)
HYPONYM(indianapolis, tracks)
HYPONYM(yellow_pages, telephone_directories)
HYPONYM(denver, cities)
HYPONYM(sweaters, apparel)
HYPONYM(renoirs, impressionist)
HYPONYM(tax, charges)
